nombre_area,estado,poblacion,lat,lon,tipo_zona,consumo_anual_m3
Ocosingo,Chiapas,234383,16.9,-92.08,Agrícola,164068100
Ocotepec,Chiapas,13364,17.17,-93.17,Agrícola,9354800
Ocozocoautla de Espinosa,Chiapas,97479,16.77,-93.37,Mixta,77983200
Ostuacán,Chiapas,18043,17.4,-93.32,Agrícola,12630100
Osumacinta,Chiapas,4130,16.92,-93.08,Agrícola,2891000
Oxchuc,Chiapas,54848,16.78,-92.35,Agrícola,38393600
Palenque,Chiapas,132256,17.5,-91.98,Servicios,145481600
Pantelhó,Chiapas,25477,17,-92.47,Agrícola,17833900
Pantepec,Chiapas,12239,17.22,-93.05,Agrícola,8567300
Pichucalco,Chiapas,31456,17.5,-93.12,Mixta,25164800
Pijijiapan,Chiapas,51731,15.68,-93.22,Mixta,41384800
El Porvenir,Chiapas,15510,15.45,-92.28,Agrícola,10857000
Villa Comaltitlán,Chiapas,28082,15.22,-92.82,Agrícola,19657400
Pueblo Nuevo Solistahuacán,Chiapas,32981,17.15,-92.9,Agrícola,23086700
Rayón,Chiapas,9770,17.2,-92.98,Agrícola,6839000
Reforma,Chiapas,44828,17.87,-93.15,Industrial,53793600
Las Rosas,Chiapas,30005,16.35,-92.37,Agrícola,21003500
Sabanilla,Chiapas,27725,17.27,-92.57,Agrícola,19407500
Salto de Agua,Chiapas,62174,17.57,-92.33,Agrícola,43521800
San Cristóbal de las Casas,Chiapas,215874,16.73,-92.63,Servicios,237461400
San Fernando,Chiapas,41423,16.87,-93.22,Agrícola,28996100
Siltepec,Chiapas,43501,15.55,-92.33,Agrícola,30450700
Simojovel,Chiapas,49957,17.15,-92.7,Mixta,34969900
Sitalá,Chiapas,14479,17.02,-92.3,Agrícola,10135300
Socoltenango,Chiapas,18780,16.22,-92.35,Agrícola,13146000
Solosuchiapa,Chiapas,8900,17.38,-92.98,Agrícola,6230000
Soyaló,Chiapas,11762,16.9,-92.93,Agrícola,8233400
Suchiapa,Chiapas,24446,16.62,-93.1,Agrícola,17112200
Suchiate,Chiapas,43343,14.68,-92.23,Agrícola,30340100
Sunuapa,Chiapas,2237,17.35,-93.22,Agrícola,1565900
Tapachula,Chiapas,353706,14.9,-92.27,Mixta,389076600
Tapalapa,Chiapas,5575,17.2,-93.1,Agrícola,3902500
Tapilula,Chiapas,12822,17.25,-93.02,Agrícola,8975400
Tecpatán,Chiapas,20853,17.15,-93.43,Agrícola,14597100
Tenejapa,Chiapas,48202,16.82,-92.5,Agrícola,33741400
Teopisca,Chiapas,46485,16.53,-92.48,Mixta,32539500
Tila,Chiapas,85718,17.3,-92.43,Agrícola,60002600
Tonalá,Chiapas,89932,16.08,-93.75,Servicios,80938800
Totolapa,Chiapas,7381,16.5,-92.75,Agrícola,5166700
La Trinitaria,Chiapas,90422,16.12,-92.05,Agrícola,63295400
Tumbalá,Chiapas,39678,17.28,-92.32,Agrícola,27774600
Tuxtla Gutiérrez,Chiapas,578830,16.75,-93.12,Servicios,694596000
Tuxtla Chico,Chiapas,41019,14.93,-92.17,Agrícola,28713300
Tuzantán,Chiapas,30909,15.1,-92.42,Agrícola,21636300
Tzimol,Chiapas,16478,16.27,-92.23,Agrícola,11534600
Unión Juárez,Chiapas,16029,15.07,-92.08,Agrícola,11220300
Venustiano Carranza,Chiapas,67484,16.35,-92.57,Mixta,53987200
Villa Corzo,Chiapas,80785,16.18,-93.27,Agrícola,56549500
Villaflores,Chiapas,109993,16.23,-93.27,Mixta,87994400
Yajalón,Chiapas,43806,17.17,-92.33,Agrícola,30664200
San Lucas,Chiapas,6268,16.55,-92.7,Agrícola,4387600
Zinacantán,Chiapas,47000,16.77,-92.72,Agrícola,32900000
San Juan Cancuc,Chiapas,38624,16.93,-92.38,Agrícola,27036800
Aldama,Chiapas,8000,16.92,-92.7,Agrícola,5600000
Benemérito de las Américas,Chiapas,18788,16.52,-90.63,Agrícola,13151600
Maravilla Tenejapa,Chiapas,12891,16.15,-91.28,Agrícola,9023700
Marqués de Comillas,Chiapas,11943,16.15,-90.65,Agrícola,8360100
Montecristo de Guerrero,Chiapas,7831,15.5,-92.57,Agrícola,5481700
San Andrés Duraznal,Chiapas,5109,17.02,-92.8,Agrícola,3576300
Santiago el Pinar,Chiapas,5121,16.93,-92.73,Agrícola,3584700
Capitán Luis Ángel Vidal,Chiapas,5000,15.7,-92.9,Agrícola,3500000
Rincón Chamula San Pedro,Chiapas,8717,17.13,-92.93,Agrícola,6101900
El Parral,Chiapas,11000,16,-93.1,Agrícola,7700000
Emiliano Zapata,Chiapas,10000,16.3,-92.9,Agrícola,7000000
Mezcalapa,Chiapas,23000,17.2,-93.3,Mixta,18400000
Honduras de la Sierra,Chiapas,12000,15.7,-92.5,Agrícola,8400000
Ahumada,Chihuahua,13757,30.57,-106.5,Agrícola,9629900
Aldama,Chihuahua,26047,28.83,-105.9,Mixta,20837600
Allende,Chihuahua,8487,26.95,-105.3,Agrícola,5940900
Aquiles Serdán,Chihuahua,13990,28.53,-105.97,Mixta,11192000
Ascensión,Chihuahua,25985,31.18,-107.97,Agrícola,18189500
Bachíniva,Chihuahua,5807,28.78,-107.25,Agrícola,4064900
Balleza,Chihuahua,16544,26.17,-106.33,Agrícola,11580800
Batopilas de Manuel Gómez Morín,Chihuahua,11277,26.97,-107.5,Servicios,10149300
Bocoyna,Chihuahua,23267,27.83,-107.58,Servicios,20940300
Buenaventura,Chihuahua,25145,30.05,-107.47,Agrícola,17601500
Camargo,Chihuahua,49499,27.67,-105.17,Mixta,39599200
Carichí,Chihuahua,8311,27.93,-107.05,Agrícola,5817700
Casas Grandes,Chihuahua,11815,30.37,-107.95,Servicios,10633500
Coronado,Chihuahua,2247,26.73,-105.15,Agrícola,1572900
Coyame del Sotol,Chihuahua,1453,29.7,-105.1,Agrícola,1017100
La Cruz,Chihuahua,4242,27.87,-105.18,Agrícola,2969400
Cuauhtémoc,Chihuahua,180638,28.4,-106.87,Mixta,162574200
Cusihuiriachi,Chihuahua,5099,28.2,-106.72,Agrícola,3569300
Chihuahua,Chihuahua,937674,28.63,-106.08,Servicios,1125208800
Chínipas,Chihuahua,6013,27.38,-108.53,Agrícola,4209100
Delicias,Chihuahua,150506,28.18,-105.47,Mixta,135455400
Dr. Belisario Domínguez,Chihuahua,2573,28.1,-106.47,Agrícola,1801100
Galeana,Chihuahua,6341,30.08,-107.6,Agrícola,4438700
Santa Isabel,Chihuahua,3893,28.38,-106.33,Agrícola,2725100
Gómez Farías,Chihuahua,7028,29.35,-107.73,Agrícola,4919600
Gran Morelos,Chihuahua,2962,28.25,-106.57,Agrícola,2073400
Guachochi,Chihuahua,50181,26.82,-107.07,Agrícola,35126700
Guadalupe,Chihuahua,4237,31.12,-105.2,Agrícola,2965900
Guadalupe y Calvo,Chihuahua,50514,26.1,-106.97,Agrícola,35359800
Guazapares,Chihuahua,7982,27.23,-108.2,Agrícola,5587400
Guerrero,Chihuahua,35473,28.55,-107.48,Agrícola,24831100
Hidalgo del Parral,Chihuahua,116662,26.93,-105.67,Mixta,105000000
Huejotitán,Chihuahua,824,27.05,-105.9,Agrícola,576800
Ignacio Zaragoza,Chihuahua,5330,29.67,-107.73,Agrícola,3731000
Janos,Chihuahua,11009,30.88,-108.2,Agrícola,7706300
Jiménez,Chihuahua,41838,27.13,-104.9,Mixta,33470400
Juárez,Chihuahua,1512450,31.73,-106.48,Industrial,1814940000
Julimes,Chihuahua,5063,28.43,-105.4,Agrícola,3544100
López,Chihuahua,3993,27,-105.03,Agrícola,2795100
Madera,Chihuahua,25442,29.18,-108.15,Agrícola,17809400
Maguarichi,Chihuahua,1473,27.87,-108,Agrícola,1031100
Manuel Benavides,Chihuahua,1455,29,-104.13,Agrícola,1018500
Matachí,Chihuahua,2864,28.85,-107.67,Agrícola,2004800
Matamoros,Chihuahua,4490,26.77,-105.58,Agrícola,3143000
Meoqui,Chihuahua,44853,28.27,-105.48,Mixta,35882400
Morelos,Chihuahua,7155,26.63,-107.68,Agrícola,5008500
Moris,Chihuahua,4479,28.1,-108.77,Agrícola,3135300
Namiquipa,Chihuahua,22915,29.27,-107.4,Agrícola,16040500
Nonoava,Chihuahua,2620,27.48,-106.72,Agrícola,1834000
Nuevo Casas Grandes,Chihuahua,65753,30.42,-107.9,Mixta,59177700
Ocampo,Chihuahua,6298,28.02,-108.35,Agrícola,4408600
Ojinaga,Chihuahua,26315,29.57,-104.42,Mixta,21052000
Práxedis G. Guerrero,Chihuahua,2644,31.37,-106.02,Agrícola,1850800
Riva Palacio,Chihuahua,7975,28.82,-106.57,Agrícola,5582500
Rosales,Chihuahua,17215,28.18,-105.57,Agrícola,12050500
Rosario,Chihuahua,1992,27.32,-106.33,Agrícola,1394400
San Francisco de Borja,Chihuahua,2162,27.83,-106.07,Agrícola,1513400
San Francisco de Conchos,Chihuahua,2687,27.57,-105.3,Agrícola,1880900
San Francisco del Oro,Chihuahua,4820,26.85,-105.85,Mixta,4338000
Santa Bárbara,Chihuahua,10940,26.8,-105.82,Mixta,9846000
Satevó,Chihuahua,3480,27.75,-106.27,Agrícola,2436000
Saucillo,Chihuahua,29699,28,-105.28,Agrícola,20789300
Temósachic,Chihuahua,5640,28.32,-108,Agrícola,3948000
El Tule,Chihuahua,1863,27.07,-105.97,Agrícola,1304100
Urique,Chihuahua,17042,27.22,-107.92,Servicios,15337800
Uruachi,Chihuahua,6823,27.87,-108.2,Agrícola,4776100
Valle de Zaragoza,Chihuahua,4819,27.45,-105.8,Agrícola,3373300
Azcapotzalco,Ciudad de México,432205,19.48,-99.18,Industrial,518646000
Coyoacán,Ciudad de México,614447,19.32,-99.15,Servicios,737336400
Cuajimalpa de Morelos,Ciudad de México,217686,19.35,-99.28,Servicios,261223200
Gustavo A. Madero,Ciudad de México,1173351,19.5,-99.1,Industrial,1408021200
Iztacalco,Ciudad de México,404695,19.38,-99.1,Mixta,485634000
Iztapalapa,Ciudad de México,1835486,19.35,-99.07,Industrial,2202583200
La Magdalena Contreras,Ciudad de México,247622,19.3,-99.25,Servicios,297146400
Milpa Alta,Ciudad de México,152685,19.18,-99.02,Agrícola,122148000
Álvaro Obregón,Ciudad de México,759137,19.35,-99.2,Servicios,910964400
Tláhuac,Ciudad de México,392313,19.27,-99,Mixta,431544300
Tlalpan,Ciudad de México,699928,19.28,-99.17,Servicios,839913600
Xochimilco,Ciudad de México,442178,19.25,-99.1,Servicios,486395800
Benito Juárez,Ciudad de México,434153,19.37,-99.15,Servicios,564398900
Cuauhtémoc,Ciudad de México,545884,19.43,-99.15,Servicios,655060800
Miguel Hidalgo,Ciudad de México,414470,19.42,-99.2,Servicios,538811000
Venustiano Carranza,Ciudad de México,443704,19.43,-99.1,Mixta,532444800
Canatlán,Durango,31349,24.52,-104.78,Agrícola,21944300
Canelas,Durango,4282,23.12,-106.55,Agrícola,2997400
Coneto de Comonfort,Durango,4090,24.87,-104.78,Agrícola,2863000
Cuencamé,Durango,34945,24.87,-103.7,Mixta,26208750
Durango,Durango,688697,24.02,-104.65,Servicios,757566700
General Simón Bolívar,Durango,10038,25,-103.35,Agrícola,7026600
Gómez Palacio,Durango,372286,25.57,-103.5,Industrial,446743200
Guadalupe Victoria,Durango,36695,24.43,-104.12,Mixta,27521250
Guanaceví,Durango,9714,25.9,-105.97,Agrícola,6800000
Hidalgo,Durango,4018,25.98,-104.92,Agrícola,2812600
Indé,Durango,4824,25.82,-105.15,Agrícola,3376800
Lerdo,Durango,163313,25.53,-103.52,Mixta,146981700
Mapimí,Durango,26920,26.12,-103.85,Agrícola,18844000
Mezquital,Durango,40250,23.47,-104.38,Agrícola,28175000
Nazas,Durango,12894,25.27,-104.12,Agrícola,9025800
Nombre de Dios,Durango,19060,23.85,-104.25,Agrícola,13342000
Ocampo,Durango,5974,26.4,-105.37,Agrícola,4181800
El Oro,Durango,10738,25.55,-105.28,Agrícola,7516600
Otáez,Durango,4923,24.7,-105.9,Agrícola,3446100
Pánuco de Coronado,Durango,12020,24.53,-104.33,Agrícola,8414000
Peñón Blanco,Durango,10860,24.78,-104.03,Agrícola,7602000
Poanas,Durango,29466,24.47,-104.07,Agrícola,20626200
Pueblo Nuevo,Durango,51269,23.38,-105.38,Agrícola,35888300
Rodeo,Durango,12818,25.17,-104.57,Agrícola,8972600
San Bernardo,Durango,2832,26.37,-105.7,Agrícola,1982400
San Dimas,Durango,17326,24.13,-105.78,Agrícola,12128200
San Juan de Guadalupe,Durango,5272,24.67,-102.78,Agrícola,3690400
San Juan del Río,Durango,12127,24.77,-104.47,Agrícola,8488900
San Luis del Cordero,Durango,2061,25.2,-104.28,Agrícola,1442700
San Pedro del Gallo,Durango,1596,25.57,-104.47,Agrícola,1117200
Santa Clara,Durango,4237,24.43,-103.35,Agrícola,2965900
Santiago Papasquiaro,Durango,49207,25.03,-105.42,Mixta,36905250
Súchil,Durango,6603,23.4,-104,Agrícola,4622100
Tamazula,Durango,25637,24.97,-106.97,Agrícola,17945900
Tepehuanes,Durango,11380,25.33,-105.72,Agrícola,7966000
Tlahualilo,Durango,21262,26.1,-103.43,Agrícola,14883400
Topia,Durango,9440,25.22,-106.57,Agrícola,6608000
Vicente Guerrero,Durango,23479,23.73,-103.98,Mixta,17609250
Nuevo Ideal,Durango,27982,24.88,-105.07,Mixta,20986500
Abasolo,Guanajuato,92040,20.45,-101.52,Agrícola,64428000
Acámbaro,Guanajuato,108697,20.03,-100.73,Mixta,97827300
San Miguel de Allende,Guanajuato,174615,20.92,-100.74,Servicios,192076500
Apaseo el Alto,Guanajuato,63393,20.45,-100.62,Mixta,50714400
Apaseo el Grande,Guanajuato,117884,20.55,-100.68,Mixta,106095600
Atarjea,Guanajuato,5296,21.27,-99.72,Agrícola,3707200
Celaya,Guanajuato,521169,20.52,-100.82,Industrial,625402800
Manuel Doblado,Guanajuato,41240,20.73,-101.95,Agrícola,28868000
Comonfort,Guanajuato,82213,20.72,-100.77,Mixta,65770400
Coroneo,Guanajuato,11084,20.18,-100.35,Agrícola,7758800
Cortazar,Guanajuato,97928,20.48,-100.93,Mixta,88135200
Cuerámaro,Guanajuato,29471,20.62,-101.68,Agrícola,20629700
Doctor Mora,Guanajuato,27376,21.13,-100.32,Agrícola,19163200
Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,163038,21.15,-100.93,Servicios,146734200
Guanajuato,Guanajuato,194500,21.02,-101.25,Servicios,213950000
Huanímaro,Guanajuato,20015,20.37,-101.5,Agrícola,14010500
Irapuato,Guanajuato,592953,20.67,-101.35,Industrial,711543600
Jaral del Progreso,Guanajuato,38782,20.37,-101.02,Agrícola,27147400
Jerécuaro,Guanajuato,49137,20.15,-100.52,Agrícola,34395900
León,Guanajuato,1721215,21.12,-101.68,Industrial,2065458000
Moroleón,Guanajuato,47261,20.13,-101.2,Mixta,42534900
Ocampo,Guanajuato,24357,21.65,-101.38,Agrícola,17049900
Pénjamo,Guanajuato,154960,20.43,-101.72,Agrícola,108472000
Pueblo Nuevo,Guanajuato,12423,20.52,-101.37,Agrícola,8696100
Purísima del Rincón,Guanajuato,83842,21.03,-101.85,Mixta,67073600
Romita,Guanajuato,65766,20.87,-101.52,Agrícola,46036200
Salamanca,Guanajuato,273417,20.57,-101.2,Industrial,328100400
Salvatierra,Guanajuato,94558,20.22,-100.88,Mixta,75646400
San Diego de la Unión,Guanajuato,38012,21.47,-100.87,Agrícola,26608400
San Felipe,Guanajuato,119789,21.48,-101.22,Agrícola,83852300
San Francisco del Rincón,Guanajuato,130871,21.02,-101.77,Mixta,117783900
San José Iturbide,Guanajuato,89558,21,-100.38,Mixta,71646400
San Luis de la Paz,Guanajuato,128526,21.3,-100.52,Mixta,102820800
Santa Catarina,Guanajuato,5640,21.13,-99.88,Agrícola,3948000
Juventino Rosas,Guanajuato,82455,20.63,-101,Agrícola,57718500
Santiago Maravatío,Guanajuato,6670,20.18,-100.98,Agrícola,4669000
Silao de la Victoria,Guanajuato,203556,20.93,-101.43,Industrial,223911600
Tarandacuao,Guanajuato,11667,20,-100.5,Agrícola,8166900
Tarimoro,Guanajuato,35905,20.3,-100.75,Agrícola,25133500
Tierra Blanca,Guanajuato,19702,21.02,-100.08,Agrícola,13791400
Uriangato,Guanajuato,62215,20.13,-101.17,Mixta,55993500
Valle de Santiago,Guanajuato,150054,20.4,-101.2,Agrícola,105037800
Victoria,Guanajuato,20800,21.22,-100.22,Agrícola,14560000
Villagrán,Guanajuato,65922,20.52,-100.98,Mixta,52737600
Xichú,Guanajuato,11342,21.3,-99.97,Agrícola,7939400
Yuriria,Guanajuato,70554,20.2,-101.13,Mixta,56443200
Acapulco de Juárez,Guerrero,779566,16.85,-99.82,Servicios,935479200
Ahuacuotzingo,Guerrero,26417,17.72,-98.9,Agrícola,18491900
Ajuchitlán del Progreso,Guerrero,37593,18.15,-100.5,Agrícola,26315100
Alcozauca de Guerrero,Guerrero,21568,17.47,-98.38,Agrícola,15097600
Alpoyeca,Guerrero,7345,17.58,-98.5,Agrícola,5141500
Apaxtla,Guerrero,11617,18.15,-99.93,Agrícola,8131900
Arcelia,Guerrero,32181,18.3,-100.27,Mixta,25744800
Atenango del Río,Guerrero,8491,18.12,-99.1,Agrícola,5943700
Atlamajalcingo del Monte,Guerrero,5605,17.3,-98.57,Agrícola,3923500
Atlixtac,Guerrero,28531,17.58,-98.92,Agrícola,19971700
Atoyac de Álvarez,Guerrero,60680,17.2,-100.43,Mixta,48544000
